Data_Registro;Tensao_Fase_RS_V;Tensao_Fase_ST_V;Tensao_Fase_TR_V;Corrente_Fase_R_A;Corrente_Fase_S_A;Corrente_Fase_T_A;Demanda_kW;Potencia-Ativa_kW
2022-07-27 07:47:35.437;434;436;440;183;184;206;749;-26766
2022-07-27 08:03:40.410;437;438;440;147;136;139;1183;-26734
2022-07-27 09:07:18.803;433;436;442;314;336;365;1546;-26635
2022-07-27 09:07:20.480;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:20.567;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:20.707;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:21.850;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:22.780;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:23.397;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:24.250;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:25.130;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:25.820;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:26.720;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:29.947;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:31.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:31.640;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:32.480;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:33.267;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:33.890;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:34.763;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:36.933;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:37.467;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:07:38.160;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:33:29.397;427;429;434;532;588;594;929;-26587
2022-07-27 09:33:30.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:33:30.790;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:33:31.373;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:33:31.907;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:33:32.423;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:33:34.353;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:33:50.340;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:33:50.880;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:33:51.987;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 09:33:52.917;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:36.450;442;443;445;120;109;112;876;-26503
2022-07-27 10:27:37.417;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:38.093;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:38.563;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:39.610;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:40.527;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:41.197;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:41.750;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:42.297;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:43.763;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:44.470;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:45.607;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:46.270;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:47.147;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:49.567;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:50.463;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:50.983;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:51.877;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:52.360;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:54.313;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:55.003;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 10:27:55.980;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:33.150;439;439;442;198;195;203;750;-26198
2022-07-27 14:05:34.647;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:35.710;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:36.377;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:36.970;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:37.737;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:38.767;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:42.460;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:43.400;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:44.347;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:45.480;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:46.523;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:47.367;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:48.040;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:48.583;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:49.673;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:50.143;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:50.980;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:51.803;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:52.323;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:55.637;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:56.103;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:57.227;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:58.617;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:59.127;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:05:59.677;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:06:00.143;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 14:06:01.320;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.467;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.473;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.483;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.487;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.490;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.490;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.503;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.507;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.513;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.520;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.523;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.527;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.530;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.537;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.547;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.547;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.553;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.560;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.560;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:05:22.567;442;444;444;61;61;70;799;-26119
2022-07-27 15:05:22.570;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:55:29.850;437;438;441;199;196;203;1106;-26015
2022-07-27 15:55:30.503;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:55:31.323;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:55:32.007;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:55:33.393;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:55:34.020;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:55:34.533;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:55:35.110;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:55:37.947;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 15:55:39.160;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
